
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.9000
✅ Macro Precision: 0.9028
✅ Macro Recall: 0.9000
✅ Macro F1-score: 0.8956

**Predictions:**
📄 Text: #costarica #extraordinaryevents #huracan #neverin200years #disasters... | 🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-06_16-31-04.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: They call, we go...in the flood water  #firefighter #hotjobs #fireslayer #waterslayer #floodwater #tyfys... | 🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-13_06-52-38.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: What a July we've had! The month started  with another flood which caused damage to the cabin and floated my Tipi, but did very minimal damage to our land or house! We dug in with help from our friend... | 🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-03_17-56-58.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: #Accrafloods... | 🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_15-38-39.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: Costa Rica right now.... Mother nature please don't cry anymore 😟. Things are not looking good... fe y fuerza mis hermanos 💚 #costarica #puravida #earth #ticos #fuerza #fe #disasters #2017 #cr... | 🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-05_23-09-45.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: Color pop ❤️#marcjacobs#sunglasses#outfit#outfitinspiration#style#styleblogger#styleinspiration#styleblog#blog#ad#blogger#vogue#lifestyle#lifestyleblogger#fashion#fashionaddict#fashionista#fashionblog... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-36-40.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: No Saturday morning ly ins over at our house. Up and at it and planning a full day of work today. Starting with all your invoices from my Black Friday sale yesterday. Thank you all so much. There is s... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-10-25.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: Touch of history. #history #historical #city #bratislava #slovakia #night #walk #citycenter #church #architecture #building #castle #street #town #capitalcity #lights #sightseeing #autumn #fall #lamp ... | 🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-40-35.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: #publicidad #ad @byjott #abuelas #grandmas #escaparates... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-11-26.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: Phone case almost matching the candleholder - the cases of @idealofsweden are so pretty ❤️ and don’t forget: the 50% off Black Friday sale is still valid till Monday 😏 • #idealofsweden #phonecase #anz... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_12-14-10.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: She lived.  Can you guess what it is? #wrecked #wreckedcar #junkyard #guessthecar... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-25_19-25-59.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: #تسلیت  #زلزله#earthquake... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_06-34-55.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: . EARTHQUAKES don't kill people, BUILDINGS do. 😔  زمین لرزه ها نیستند که مردم را می کشند، ساختمانها هستند که انسانها را از بین می بزند. 😔  #زمین_لرزه #زلزله #مردم #کرمانشاه #سرپل_ذهاب #ایران  #quotes ... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_07-41-21.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: #autobody #wreckedcar #crashedcar #bodywork #framemachine... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-27_03-05-57.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: Five years have passed since Hurricane Sandy hit NYC. The Rockaways back in 2012. © Michael Hicks #hurricanesandy #mhicksphoto #climatechange #climatepolicy #nyc... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanesandy_2017-10-28_20-26-48.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: She just landed in one of Greek islands with her kids......she left everything behind.......the fear of death .....the war in Syria makes you believe that the only solution to save your life is to mig... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-19_16-57-08.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
