Text Path,True Label,Predicted Label,Snippet
./split_dataset/test/flood/texts/floodwater_2017-09-01_13-38-30.txt,flood,flood,"The Unprecedented Flooding in Houston - Flooding from Harvey has paralyzed the country\'s fourth biggest city, forcing thousands to flee as rivers rise to levels not seen in centuries.

http://www.sli"
./split_dataset/test/flood/texts/disasters_2017-11-10_14-00-42.txt,flood,flood,"Flash flood in White Beach, Puerto Galera

#disasters #nature #flood #flooding #rainseason #salome #tropicalstorm #mindoro #philipines #exploreph #ladyrider #streetview #jcfromholland #jcinthephilippi"
./split_dataset/test/flood/texts/floodwater_2017-08-22_09-02-32.txt,flood,flood,#flood #flood2017 #bangladesh #environment #climate #change #global #warming #most #threatened #vulnerable #country #disaster #floodwater #southasia #india #nepal #reportage #connect4climate #everyday
./split_dataset/test/flood/texts/accrafloods_2017-10-06_13-52-47.txt,flood,flood,"Scenes from the floods at Kotobaabi down, Alajo area. Where are you and what is the flood situation over there?
#Accrafloods
#TV3GH"
./split_dataset/test/flood/texts/disasters_2017-10-13_21-07-14.txt,flood,flood,Hoy es el día internacional para la Reducción de los Desastres🌪🌊Los últimos estudios pronostican un aumento continuo de las personas dejadas sin hogar entre los habitantes de los países más propensos 
./split_dataset/test/non_damage/texts/ad_2017-11-25_01-55-47.txt,non_damage,non_damage,"#Repost @elkawhalan (@get_repost)
・・・
We've just had a quick warmup before our lesson and quickly catching some vitamin D and a water break before #ANZTennisHotShots begins. 
This week the two have le"
./split_dataset/test/non_damage/texts/ad_2017-11-25_04-10-47.txt,non_damage,non_damage,"@freedomofspeechnyc ""Martin #Tee"" available at www.freedomofspeechnyc.com #freedomofspeechnyc #martinlawrence #tshirt #martinpayne #tommyford #riptommy #sheneneh #hustleman #martymar #teammartymar #ca"
./split_dataset/test/non_damage/texts/food_2017-11-23_23-10-49.txt,non_damage,non_damage,I would like to wish all my family and friends a Happy Thanksgiving!!! From my family to yours 🙏🏼💋🦃🍁🎄❄️🍁🍷#happythanksgiving #joy #holiday #happiness #turkey #igers #photography #nycprime_ladies #nycex
./split_dataset/test/non_damage/texts/ad_2017-11-25_03-53-38.txt,non_damage,non_damage,#jasonsalaisfilms #jasonsalais #life #principle #soul #spirit #artist #love #truth #jasonsalaisphotography #jasonsalaisads #ad #adman #mind #usa
./split_dataset/test/non_damage/texts/ad_2017-11-25_07-05-56.txt,non_damage,non_damage,"Mona is so great 💗💗 Do you like Mona ?? 🌈🌈🎉🎉 ............
#likeforfollow #follow4like #fun #eliminationgame #prettylittleliars #pretty #little #liars #ezra #mona #alisondilaurentis #ariamontgomery #ad"
./split_dataset/test/damaged_infrastructure/texts/wreckedcar_2016-12-11_09-22-42.txt,damaged_infrastructure,non_damage,homeboy was probably texting. 😒 effing #Priusdrivers #mercedesbenz #wrecked #wreckedcar #socaldriving #stayalert #calilife
./split_dataset/test/damaged_infrastructure/texts/wreckedcar_2016-11-18_13-41-09.txt,damaged_infrastructure,damaged_infrastructure,"Really like shooting with my phone, it's relaxing! #beckenham #photography #iphone7 #wreckedcar #wreck #smashedcar #car"
./split_dataset/test/damaged_infrastructure/texts/hurricanesandy_2017-10-28_20-26-48.txt,damaged_infrastructure,non_damage,Five years have passed since Hurricane Sandy hit NYC. The Rockaways back in 2012. © Michael Hicks #hurricanesandy #mhicksphoto #climatechange #climatepolicy #nyc
