
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.6667
✅ Macro Precision: 0.7569
✅ Macro Recall: 0.6667
✅ Macro F1-score: 0.6759

**Predictions:**
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-30_21-27-36.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-11_12-04-30.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-13_06-52-38.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_22-53-00.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_14-41-23.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-50-36.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-12-30.jpg | ✅ True: non_damage | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-22-54.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-43-22.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-43-40.jpg | ✅ True: non_damage | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricaneirma_2017-11-15_16-43-16.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-12_22-37-40.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2012-11-02_22-24-55.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-08-08_18-22-23.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-03-21_23-23-20.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2014-08-14_13-05-18.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/victimsofwar_2017-03-07_19-29-35.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2015-07-19_21-00-23.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-08-03_15-00-16.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-03_11-18-40.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/fires/images/wildfires_2017-11-20_21-48-01.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_00-21-22.jpg | ✅ True: fires | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-05_22-47-29.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/buildingcollapse_2014-03-25_20-42-04.jpg | ✅ True: fires | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-25_15-39-10.jpg | ✅ True: fires | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-13_03-20-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-23_07-38-04.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-05_04-12-57.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-18_05-18-18.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-16_02-07-16.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_infrastructure
