
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.9000
✅ Macro Precision: 0.9246
✅ Macro Recall: 0.9000
✅ Macro F1-score: 0.8969

**Predictions:**
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-23_03-29-32.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-29_14-08-33.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_19-43-46.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_23-33-26.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-06_16-31-04.jpg | ✅ True: flood | 🔍 Predicted: flood
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-50-47.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-34-12.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_01-53-42.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-16-31.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_11-35-03.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2013-08-01_11-01-41.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanesandy_2017-10-30_13-37-40.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-12_23-30-21.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-06-13_00-37-06.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquakenepal_2017-04-08_08-33-42.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2014-06-09_09-35-06.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_05-43-28.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-08-21_09-08-41.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-11-21_12-07-44.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/terrorattack_2017-11-03_16-44-27.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_02-50-35.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-08-01_01-46-37.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/disaster_2017-10-28_11-43-24.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/naturaldisaster_2017-10-17_06-35-54.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-09-07_22-38-25.jpg | ✅ True: fires | 🔍 Predicted: fires
🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-20_16-13-30.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/naturaldisaster_2017-10-18_03-22-52.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-01-14_17-42-17.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_nature/images/windstorm_2017-11-14_01-27-07.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-05_04-12-57.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
