
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.5333
✅ Macro Precision: 0.5063
✅ Macro Recall: 0.4571
✅ Macro F1-score: 0.4596

**Predictions:**
📄 Text: Hurricane Harvey News: Houston, TX is asking for your support by making a $10 donation today to the #AmericanRedCross for the benefit of thousands of people affected by #HurricaneHarvey - To #donate, ... | 🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-28_08-16-16.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: I doubt if anyone's working to prevent this from happening in 2017. The things you easily forget. #AccraFloods #Disaster... | 🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-08-02_08-15-06.jpg | ✅ True: flood | 🔍 Predicted: damaged_infrastructure
📄 Text: Bowfishing paradise #bowishing  #floodwater... | 🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-20_00-47-10.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: Be safe wherever u are...... #accrafloods  at is again... | 🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_14-41-23.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: #hurricanesandy #hurricane #sandy #subway #nj #nyc #sandydamage... | 🖼 Image: ./split_dataset/test/flood/images/sandydamage_2012-10-30_16-53-08.jpg | ✅ True: flood | 🔍 Predicted: damaged infrastructure
📄 Text: Special BLACK FRIDAY 🔥 Enjoy -25% extra on the watches collection DAPPER cumulative with my code 👉🏽 "POPS" and adds -15% on your final order. @danielwellington ♥️ #danielwellington #ad... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-29-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: **Gift Idea!** #ad  @kubklub is a one time or monthly subscription box that is tailored to baby's age from 0-3 years. Each box includes 5-7 items. This is the perfect gift for a family begging for no ... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-57-19.jpg | ✅ True: non_damage | 🔍 Predicted: flood
📄 Text: Ok so I'm sure you're all wondering what's happening here! Holidays are stressful, stress increases my pain levels, ya girl isn't a fan of pain! So I bought back massagers. A lot of back massagers. OK... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-15-31.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: #cool #girl #look #like #like4like #life #love #rickandmorty #rickundmorty #makeup #tattoo #moscow #nizhniynovgorod #kazan #repost #russia #russiangirl #2x2 #autumn #dreads #ad #kosplaytime #time #cit... | 🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-15-29.jpg | ✅ True: non_damage | 🔍 Predicted: flood
📄 Text: لاول مرة إنفينيتي تطلق كيو اكس ٣٠ الجديدة بالكامل في الشرق الأوسط ومعها تنطلق الشركة في خط الكروس اوفر المدمجة الفاخرة. وكما لاحظنا انها لبداية قوية جداً كعادة انفينيتي.  #انفينيتي #سيارة #عالم_السيار... | 🖼 Image: ./split_dataset/test/non_damage/images/cars_2017-10-30_17-50-33.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
📄 Text: میدونم این تسلیت گفتنا کمکی نمیکنه😢، حتی تصور حادثه تلخی که رخ داده هم واسمون سخته😟، فقط میتونم بگم متاسفم و امیدوارم هر کسی میتونه حتما کمک کنه، از مسئولامون هم که بخاری بلند نمیشه، خود مردم باید دست... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_23-54-51.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: What do you think mother? مادر به چه می اندیشی ؟  #photo @Ahmad.khatiri #Afiap It's time to help Not time the motto and the words  #IranianRedCrescent Account Number to Help People in Earthquake Stric... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_19-34-19.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged infrastructure
📄 Text: Silent screams. 😕 #anthropomorphising #derelict #destruction #destroyedbuilding #derelictbuilding #manchester #MCR #NQ #igersmanchester #igersmcr #silentscream #iseefaceseverywhere #architecture... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2017-10-09_00-59-04.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: © Life under the rubble in #Syria is the photographic reportage by @luca_catalano_gonzaga for @witness_image to describe, mercilessly, the wounds, the anguish, the hopes of a people battered by long, ... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/warsyria_2017-01-22_00-59-12.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: I hate traveling #badcarluck #wreckedcar... | 🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-04-21_02-24-23.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
📄 Text: TONIGHT @ 7pm(pst) / 10pm(est)  #ladiesnight #podcast #realtalk #lasvegas #shooting #domesticterrorism #terrorattack #reallife #justice #lifeanddeath #night4ladies #victims #letstalk  LINK IN BIO... | 🖼 Image: ./split_dataset/test/human_damage/images/terrorattack_2017-11-03_16-44-27.jpg | ✅ True: human_damage | 🔍 Predicted: damaged_nature
📄 Text: Syrian regime targeting innocent children ...........Syrian regime continues to oppress Syrians and push them to join Isis .......on behalf of free Syria, I have this message to world: we shall never ... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-11-13_19-30-52.jpg | ✅ True: human_damage | 🔍 Predicted: damaged_infrastructure
📄 Text: Syrian refugees on the Greek Serbian border ......the Syrian exodus...........#assadcrimes#genocide #isiscrimes #pain #syrianrefugees #refugees #syria #syrie #syrians #pain #suffering... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_21-43-01.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: Shame on this world......shame on international community........it's disgusting to see un and super power doing nothing to help Syrians......... What a disgrace........ Syrian regime committed a new ... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-16_22-04-02.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: A wounded person helping another injured person .........another crime committed by Syrian regime ........#syriangenocide #genocide #pain #assadcrimes #isiscrimes #disgrace #poorsyrians #poorsyrians... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-17_04-19-10.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: Bronx - 653 Crotona Park North 4 alarm fire that burned the 3rd, 4th, 5th & 6th floors of a building. __________________________ #NewYorkCity #NewYork #NYC #NY #NYPD #FDNY #FDNYEMS #Emergency #Police ... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_02-56-46.jpg | ✅ True: fires | 🔍 Predicted: damaged_infrastructure
📄 Text: Fire in Alberta #fire#alberta#highway#highway63#fortmac#fortmcmurray#forrestfire... | 🖼 Image: ./split_dataset/test/fires/images/forrestfire_2016-04-30_05-12-12.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: Termo Hotel Albury was completely destroyed by fire January 2005. #fire #firefighter #firstation #firetruck #albury #photo #alburycity  #firebrigade #fireandrescuensw #vintage #oldbuilding #buildingfi... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-06-14_11-59-55.jpg | ✅ True: fires | 🔍 Predicted: damaged_infrastructure
📄 Text: Getting ready to Brave an early screening of #onlythebrave Let's hope it brings the heat and doesn't end up being a huge dumpster fire! 🔥#movie #screening #early #joshbrolin #milesteller #jeffbridges ... | 🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-18_02-15-13.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: #TheBurn at #BurningMan2017... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-10-04_08-03-07.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: Incredible southern landscape. . . . . . . . . . #wildfires #portugalrural #southportugal #travelling #trainjourney #awesomecolours #slowmo... | 🖼 Image: ./split_dataset/test/damaged_nature/images/wildfires_2017-11-20_15-02-02.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
📄 Text: Photo by James Whitlow Delano @jameswhitlowdelano on Instagram  Two young men near the end of a long walk to their village in the Ethiopian Highlands.  Good roads are far and few between, and motor tr... | 🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-17_03-14-37.jpg | ✅ True: damaged_nature | 🔍 Predicted: flood
📄 Text: Anyone else think this sign is tough? #builditrightthefirsttime #overkill #treesfalling#storm #aftermath #hahha... | 🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2013-07-25_16-37-46.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_infrastructure
📄 Text: #TBT: Hurricane Sandy damage in my neighborhood 5 years ago. Thankfully, my friends and family were safe but the recovery for some was more challenging.  If you have the means, please consider donatin... | 🖼 Image: ./split_dataset/test/damaged_nature/images/hurricanesandy_2017-10-19_18-47-19.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged infrastructure
