
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.2098
✅ Precision: 0.6502
✅ Recall: 0.2098
✅ F1-score: 0.1175

**Test Sample Predictions:**
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_20-09-53.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/sandydamage_2012-10-29_16-23-47.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_15-41-45.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-17_11-04-25.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-13_21-07-14.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-31_00-38-45.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanesandy_2017-10-29_17-51-55.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-28_01-02-40.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-14_13-01-28.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-04_17-51-09.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-09-08_22-57-40.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-20_00-47-10.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-15_01-47-54.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-16_20-14-44.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-11-23_03-54-23.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-30_11-54-49.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-17_18-23-21.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-28_07-21-14.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_23-49-50.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-11-23_03-29-44.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-27_18-54-33.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-28_08-16-16.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/sandydamage_2014-12-02_11-09-01.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-09-06_21-48-34.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-31_06-12-18.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-09-01_17-08-28.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-06_16-31-04.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-13_06-52-38.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-29_02-15-59.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-21_06-17-49.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-09-10_21-15-08.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricaneharvey_2017-10-28_00-00-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-22_07-25-11.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-06-09_15-49-45.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-03-18_17-34-13.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-12_16-52-33.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_16-48-47.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-04_22-03-30.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_19-43-46.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_23-30-27.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-16_16-48-35.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-10_07-08-02.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-10_16-36-41.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-08-31_01-48-05.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_23-46-02.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-23_03-29-32.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-10_04-21-41.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-01_18-25-54.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_23-33-26.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricaneharvey_2017-10-29_16-44-05.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-28_15-03-18.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2017-10-06_13-52-47.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2015-06-04_22-22-16.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-08-30_03-52-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanesandy_2017-10-29_22-36-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-17_23-31-27.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-09-01_00-27-13.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-30_21-27-36.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/naturaldisaster_2017-10-17_16-56-58.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-11-10_14-00-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-31_22-44-44.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-10-03_05-20-38.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-29_07-45-23.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-29_23-53-51.jpg | ✅ True: flood | 🔍 Predicted: non_damage
